Max: 200038996 Min: 2
MaxVal: 200038996.228362 MinVal: 2.000144
--       *  |     ---    , 0.004043,  0.106093,  0.356318,  0.689530,  0.788969
--       *  |---------   , 0.002018,  0.098207,  0.367468,  0.519195,  0.871156
--     *    |--------    , 0.026822,  0.110748,  0.316372,  0.514600,  0.845973
     *      |---------   , 0.005954,  0.029507,  0.228442,  0.512434,  0.858697
--   *     -|--------    , 0.014825,  0.078914,  0.215769,  0.437014,  0.832824
--  *       |------      , 0.019104,  0.097245,  0.188147,  0.482682,  0.764840
--    *   --|-------     , 0.004733,  0.101604,  0.257068,  0.432629,  0.810953
--    *    -|-------     , 0.035470,  0.109626,  0.249525,  0.448127,  0.807229
---    *    | ---------  , 0.005083,  0.114628,  0.272535,  0.544828,  0.847312
-    *    --|-------     , 0.007808,  0.049115,  0.216124,  0.402302,  0.771163
--   *      |----------  , 0.008684,  0.086242,  0.230573,  0.496354,  0.904569
--    *     |------      , 0.009615,  0.079321,  0.245038,  0.489716,  0.760163
---     *   |  ------    , 0.007587,  0.116889,  0.324219,  0.587964,  0.807247

Max: 200037372 Min: 2
MaxVal: 200037372.929624 MinVal: 2.000125
-    *     -|------      , 0.006455,  0.070277,  0.201283,  0.452564,  0.790175
----    *   |   ------   , 0.008701,  0.177763,  0.342248,  0.648541,  0.896920
-   *    ---|-------     , 0.006030,  0.056846,  0.194057,  0.389089,  0.789738
----     *  |----------  , 0.004121,  0.141624,  0.296490,  0.441668,  0.771642
---  *    --|---------   , 0.030990,  0.136905,  0.233306,  0.407662,  0.914345
-   *      -|------      , 0.014287,  0.070057,  0.186755,  0.440453,  0.777391
--  *     --|---------   , 0.002868,  0.083946,  0.188851,  0.431480,  0.884349
---   *     |-------     , 0.010732,  0.108778,  0.214301,  0.409948,  0.696098
---      *  |----        , 0.005430,  0.131725,  0.353026,  0.493031,  0.642018
--   *      |----------  , 0.008137,  0.110079,  0.213636,  0.496239,  0.920268
-     *     | ---------  , 0.003925,  0.071749,  0.234907,  0.568267,  0.929329
----  *   --|------      , 0.011948,  0.170714,  0.262606,  0.385699,  0.768873
-   *    ---|------      , 0.001716,  0.058290,  0.183158,  0.345777,  0.708684
-   *       | -------    , 0.009148,  0.066023,  0.197414,  0.583332,  0.875493
-    *     -|---------   , 0.012967,  0.039573,  0.227683,  0.469192,  0.867898
      *     |--------    , 0.006586,  0.030979,  0.249760,  0.466806,  0.796468
---     *   |------      , 0.022092,  0.127266,  0.334363,  0.472470,  0.751656
-   *   ----|-----       , 0.001950,  0.042267,  0.168501,  0.335348,  0.729314
-       *   |----------  , 0.018776,  0.065428,  0.333583,  0.530432,  0.889375
--    *    -|------      , 0.009707,  0.076234,  0.259136,  0.445077,  0.706680

Max: 200039252 Min: 2
MaxVal: 200039252.067568 MinVal: 2.000115
-   *     --|------      , 0.005059,  0.065988,  0.195221,  0.434118,  0.783210
--     *   -|-------     , 0.013693,  0.080631,  0.288248,  0.450425,  0.763230
----     *  |    ------  , 0.026934,  0.183524,  0.398016,  0.696634,  0.934936
-    *    --|--------    , 0.003299,  0.078319,  0.204288,  0.410508,  0.839103
-     *    -|-----       , 0.015448,  0.070326,  0.250980,  0.439873,  0.694159
---   *     | --------   , 0.011992,  0.124666,  0.237008,  0.560738,  0.891180
-  *        |--------    , 0.015110,  0.055506,  0.141451,  0.471722,  0.804175
-    *   ---|----------  , 0.007448,  0.072215,  0.209167,  0.389895,  0.921849
    *    ---|---------   , 0.001295,  0.035031,  0.190228,  0.387709,  0.906751
--    *     | ------     , 0.012736,  0.094140,  0.271408,  0.581012,  0.826213
-    *   ---|----        , 0.015285,  0.063891,  0.207602,  0.373667,  0.709645
    *      -|----        , 0.001440,  0.031352,  0.148101,  0.401890,  0.593577
-      *    |  -------   , 0.004261,  0.035841,  0.252579,  0.508741,  0.758347
--- *      -|----------- , 0.019517,  0.119072,  0.168435,  0.419851,  0.890028
-----     * |    ------  , 0.026015,  0.200454,  0.401455,  0.683045,  0.930038
--    *     | --------   , 0.007268,  0.117327,  0.261448,  0.551950,  0.888090
-   *-------|--------    , 0.003850,  0.073177,  0.152600,  0.221127,  0.798176
-  *      --|-------     , 0.002899,  0.066611,  0.135738,  0.420051,  0.803006
--   *   ---|---------   , 0.017397,  0.089260,  0.200715,  0.356467,  0.862399
-    *      |--------    , 0.000791,  0.042575,  0.225116,  0.508479,  0.841681

Max: 200039949 Min: 2
MaxVal: 200039949.612610 MinVal: 2.001087
-   *     --|------      , 0.005720,  0.063490,  0.195300,  0.432547,  0.777728
-    *      | --------   , 0.001408,  0.045821,  0.196288,  0.565566,  0.853005
---   *    -|-------     , 0.011865,  0.126411,  0.234064,  0.453633,  0.791025
-   *       |--------    , 0.015581,  0.052432,  0.156136,  0.482784,  0.806853
---         |*   -----   , 0.025956,  0.125930,  0.513549,  0.676280,  0.863099
--      *   |---------   , 0.023297,  0.101444,  0.333195,  0.555088,  0.879779
   *      --|--------    , 0.004041,  0.029525,  0.144442,  0.414806,  0.835091
    *       |-----       , 0.003529,  0.026644,  0.170800,  0.516993,  0.716254
----       *|  -----     , 0.033877,  0.175616,  0.408512,  0.551689,  0.739613
-   *   ----|--------    , 0.009125,  0.067420,  0.178542,  0.342059,  0.814397
-   *     --|-----       , 0.012967,  0.046935,  0.169692,  0.382464,  0.678052
-  *        |------      , 0.001345,  0.037514,  0.129049,  0.466039,  0.732696
--    *    -|--------    , 0.005086,  0.098452,  0.236981,  0.451559,  0.848694
--- *  -----|------      , 0.036817,  0.127610,  0.168826,  0.302374,  0.767763
       *    |-----       , 0.003933,  0.031015,  0.288527,  0.517769,  0.694151
-   *      -|---------   , 0.012863,  0.071870,  0.161946,  0.453190,  0.856142
-     *    -|--------    , 0.004607,  0.059848,  0.232534,  0.422366,  0.802157
---   *     | ------     , 0.019687,  0.126613,  0.266651,  0.544428,  0.784181
-  *    ----|------      , 0.011803,  0.044493,  0.141230,  0.336481,  0.729686
  *     ----|--------    , 0.001339,  0.034900,  0.094291,  0.327597,  0.843161

Max: 200039356 Min: 2
MaxVal: 200039356.277753 MinVal: 2.000196
-   *     --|------      , 0.005720,  0.065988,  0.195300,  0.428519,  0.783294
-   *    ---|-------     , 0.000223,  0.040656,  0.149758,  0.346815,  0.778621
 -   *    --|--          , 0.044289,  0.111448,  0.230582,  0.421201,  0.600790
--    *   --|-------     , 0.012904,  0.089303,  0.251443,  0.429281,  0.799648
 ----   *   | ------     , 0.049861,  0.203059,  0.321585,  0.585947,  0.821133
---   *     | -------    , 0.003438,  0.147222,  0.241699,  0.559316,  0.851658
-       *   |---------   , 0.010285,  0.044355,  0.311388,  0.496438,  0.865556
---      *  | --------   , 0.005999,  0.126210,  0.364953,  0.531752,  0.832896
-     *   --|-------     , 0.007693,  0.049075,  0.245016,  0.379538,  0.769539
--    *     | -----      , 0.007743,  0.098047,  0.231222,  0.559488,  0.730098
--     *    |---------   , 0.002797,  0.110558,  0.286964,  0.545011,  0.881342
-      *    |  --------  , 0.011608,  0.051956,  0.294597,  0.612164,  0.908494
--  *    ---|---         , 0.005306,  0.085685,  0.189104,  0.369230,  0.653033
---      *  | ------     , 0.008425,  0.122674,  0.353009,  0.560920,  0.804857
-     *     |-----       , 0.020920,  0.073366,  0.248555,  0.469669,  0.711146
--     *    | --------   , 0.005173,  0.077660,  0.258168,  0.521044,  0.804882
 -      *   |---------   , 0.043050,  0.105587,  0.322987,  0.538560,  0.880160
---   *     |-------     , 0.028024,  0.115551,  0.263348,  0.503100,  0.780973
---      *  |    -----   , 0.009315,  0.115979,  0.357969,  0.666004,  0.859963
--         *|   -------  , 0.027105,  0.114235,  0.447991,  0.646125,  0.901722

Max: 200039734 Min: 2
MaxVal: 200039734.055630 MinVal: 2.000023
-   *     --|------      , 0.006040,  0.066042,  0.195060,  0.418381,  0.777728
-----    *  | --------   , 0.011906,  0.205995,  0.353770,  0.512932,  0.820969
--       *  |   -----    , 0.010103,  0.092349,  0.363407,  0.660352,  0.864783
---     *  -|-------     , 0.023402,  0.129128,  0.327697,  0.462695,  0.826469
----     *  |  ------    , 0.021224,  0.164878,  0.381352,  0.611295,  0.876387
-   *     --|-----       , 0.005060,  0.042409,  0.173186,  0.383321,  0.703917
--   *  ----|---         , 0.017715,  0.096441,  0.203893,  0.326726,  0.631758
-      *    | --------   , 0.006681,  0.066682,  0.282436,  0.583587,  0.871005
--     *    |  -----     , 0.012550,  0.115961,  0.273694,  0.598641,  0.792643
     *     -|-------     , 0.001720,  0.038380,  0.229941,  0.462610,  0.831594
 --    *    |  ------    , 0.039558,  0.139924,  0.272281,  0.597379,  0.835749
-----     * | --------   , 0.019730,  0.206254,  0.409792,  0.553213,  0.850471
---     *   | -------    , 0.016403,  0.149474,  0.325056,  0.569673,  0.858097
--  *      -|-------     , 0.015904,  0.085388,  0.193047,  0.448488,  0.795500
-  *      --|--------    , 0.016814,  0.068321,  0.152316,  0.413656,  0.827338
-     *     |  --------  , 0.002249,  0.057733,  0.257482,  0.599163,  0.919233
--    *    -|--------    , 0.006704,  0.083823,  0.256101,  0.465340,  0.861033
---  *   ---|-----       , 0.006337,  0.116665,  0.211667,  0.381381,  0.711496
----    *   |--------    , 0.002525,  0.174523,  0.328480,  0.526268,  0.846001
     *      |------      , 0.000924,  0.022565,  0.180795,  0.443702,  0.663084

Max: 200039929 Min: 2
MaxVal: 200039929.653205 MinVal: 2.002367
-    *    --|------      , 0.005731,  0.068474,  0.200201,  0.434712,  0.782048
-  *      --|--          , 0.031979,  0.067404,  0.156601,  0.405407,  0.624220
-      *   -|-------     , 0.020337,  0.062681,  0.280715,  0.455924,  0.834137
---    *  --|-----       , 0.024518,  0.125047,  0.292299,  0.394124,  0.702105
